start concept,end concept,label
mathematics,random graph,1
algorithm design,knowledge representation and reasoning,1
natural language,natural language processing,1
combinatorics,algorithm,1
unix,system programming,1
combinatorics,random graph,1
mathematical proof,mathematical induction,1
image processing,computer vision,1
mathematics,randomness,1
number theory,computer science,1
data computing,database,1
graph theory,machine learning,1
programming language,type system,1
programming language,variable computer science,1
logic,computer programming,1
operating system,distributed computing,1
computation,monte carlo method,1
recursion,first order logic,1
formal grammar,lexical analysis,1
mathematics,algorithm,1
np complete,shortest path problem,1
algebra,probability theory,1
computer programming,system programming,1
computer,graphical user interface,1
algorithm,profiling computer programming,1
algorithm,complexity class,1
geometry,computer graphics,1
computer programming,relational database,1
software design,software development,1
computational geometry,geometric modeling,1
complexity,computational complexity theory,1
data,statistical inference,1
markov chain,martingale probability theory,1
digital electronics,arithmetic logic unit,1
artificial intelligence,data mining,1
algorithm design,divide and conquer algorithm,1
computer,unix,1
robot,robotics,1
mathematics,computer security,1
shared memory,cache coherence,1
finite state machine,parsing,1
authentication,malware,1
information assurance,firewall computing,1
database,relational model,1
computer architecture,compiler,1
database,atomicity database systems,1
computer programming,bioinformatics,1
markov chain,machine learning,1
mathematics,algebra,1
data structure,b tree,1
expected value,pagerank,1
computer science,computer network,1
operating system,concurrency computer science,1
iterative method,algorithm,1
thread computer science,multi core processor,1
computer programming,software engineering,1
probability theory,large deviations theory,1
computer,control flow,1
algorithm,monte carlo method,1
interactivity,human computer interaction,1
computer science,programming paradigm,1
computer science,computer programming,1
computer science,computer graphics,1
computer science,computational geometry,1
algorithm,geometric modeling,1
geometry,computer vision,1
matrix mathematics,geometry,1
computer graphics,visualization computer graphics,1
computer programming,profiling computer programming,1
random variable,graphical model,1
logic,algorithm,1
computer programming,string computer science,1
relational model,relational database,1
computer programming,query language,1
computational complexity theory,machine learning,1
mathematics,matrix mathematics,1
computer science,theory of computation,1
high level programming language,object oriented programming,1
computer programming,index database,1
computer science,computational chemistry,1
statistical inference,machine learning,1
string searching algorithm,suffix tree,1
algorithm,d modeling,1
probability theory,analysis of algorithms,1
data structure,programming language,1
finite set,combinatorics,1
polynomial,fourier analysis,1
parallel computing,vector processor,1
computer,mobile device,1
approximation,newton s method,1
algorithm,computational chemistry,1
compiler,symbol table,1
logic,formal language,1
machine learning,document classification,1
computer science,cryptography,1
machine learning,reinforcement learning,1
foundations of mathematics,logic,1
mathematics,partial differential equation,1
algorithm,dynamic programming,1
mathematics,knowledge representation and reasoning,1
continuous function,stochastic process,1
computational science,machine learning,1
